age,currentClub,dateOfBirth,foot,height,id,joinedOn,marketValue,name,nationality,played_for,position,season,signedFrom
33,Retired,"Oct 18, 1974",both,"1,83m",3797,"Jan 1, 2005",€2.25m,Robbie Savage,['Wales'],Blackburn-Rovers,Defensive Midfield,2007-2008,: Ablöse €4.50m
31,Retired,"Mar 8, 1977",both,"1,77m",4352,"Mar 1, 2008",€1.50m,Johann Vogel,['Switzerland'],Blackburn-Rovers,Defensive Midfield,2007-2008,Without Club
37,Retired,"Aug 24, 1970",right,"1,76m",3703,"Jul 1, 2001",€1.00m,Tugay Kerimoğlu,['Türkiye'],Blackburn-Rovers,Defensive Midfield,2007-2008,: Ablöse €1.95m
26,Retired,"Sep 8, 1981",left,"1,83m",22741,"Aug 27, 2004",€8.25m,Morten Gamst Pedersen,['Norway'],Blackburn-Rovers,Central Midfield,2007-2008,Tromsø IL
23,Retired,"Sep 8, 1984",right,"1,85m",10501,"Jul 1, 2003",€1.25m,Paul Gallagher,['Scotland'],Blackburn-Rovers,Central Midfield,2007-2008,Blackburn Rovers U18
20,Retired,"Sep 23, 1987",left,"1,78m",48106,"Jul 1, 2006",€50k,Bryan Hodge,['Scotland'],Blackburn-Rovers,Central Midfield,2007-2008,Blackburn Rovers U18
23,Retired,"Aug 27, 1984",right,"1,78m",3205,"Feb 15, 2013",€9.00m,David Bentley,['England'],Blackburn-Rovers,Right Midfield,2007-2008,Tottenham Hotspur
29,Retired,"Feb 22, 1979",right,"1,85m",4367,"Jul 10, 2003",€5.25m,Brett Emerton,['Australia'],Blackburn-Rovers,Right Midfield,2007-2008,: Ablöse €3.00m
21,Retired,"Oct 12, 1986",,,29341,"Jul 1, 2005",€700k,Sergio Peter,['Germany'],Blackburn-Rovers,Left Midfield,2007-2008,Blackburn Rovers Reserves
19,Retired,"Sep 13, 1988",left,"1,83m",57064,"Jul 1, 2007",€300k,Keith Treacy,['Ireland'],Blackburn-Rovers,Left Midfield,2007-2008,Blackburn Rovers U18
28,Retired,"Dec 27, 1979",right,"1,78m",4243,"Jan 17, 2007",€5.25m,David Dunn,['England'],Blackburn-Rovers,Attacking Midfield,2007-2008,: Ablöse €3.20m
20,Città di Anagni Calcio,"Sep 23, 1987",right,"1,80m",71226,,€50k,Raffaele De Vita,['Italy'],Blackburn-Rovers,Left Winger,2007-2008,
19,Retired,"Dec 22, 1988",right,"1,91m",71259,,€50k,Josh O'Keefe,"['Ireland', 'England']",Blackburn-Rovers,Right Winger,2007-2008,
30,Retired,"Nov 12, 1977",right,"1,84m",3091,"Jul 1, 2006",€10.00m,Benni McCarthy,['South Africa'],Blackburn-Rovers,Centre-Forward,2007-2008,FC Porto
26,Club Libertad Asunción,"Aug 16, 1981",right,"1,93m",215,"Jan 14, 2011",€8.00m,Roque Santa Cruz,"['Paraguay', 'Spain']",Blackburn-Rovers,Centre-Forward,2007-2008,: Ablöse free transfer
22,Retired,"Apr 14, 1986",right,"1,80m",15175,"Jul 1, 2006",€3.00m,Matt Derbyshire,['England'],Blackburn-Rovers,Centre-Forward,2007-2008,Blackburn Rovers Reserves
30,Retired,"Jan 25, 1978",right,"1,85m",3666,"Jul 3, 2006",€2.00m,Jason Roberts,"['Grenada', 'England']",Blackburn-Rovers,Centre-Forward,2007-2008,Wigan Athletic
24,Retired,"Jan 22, 1984",right,"1,79m",27701,"Jul 1, 2007",€1.25m,Maceo Rigters,"['Netherlands', 'Suriname']",Blackburn-Rovers,Centre-Forward,2007-2008,: Ablöse €1.20m
19,Retired,"Sep 11, 1988",right,"1,78m",71222,"Jul 1, 2007",€50k,Jamie Clarke,['England'],Blackburn-Rovers,Centre-Forward,2007-2008,Blackburn Rovers U18
29,Retired,"Oct 15, 1979",right,"1,93m",3630,"Jul 1, 2008",€4.60m,Paul Robinson,['England'],Blackburn-Rovers,Goalkeeper,2008-2009,Tottenham Hotspur
27,Retired,"May 18, 1982",,,15916,"Jul 1, 2006",€600k,Jason Brown,['Wales'],Blackburn-Rovers,Goalkeeper,2008-2009,Gillingham FC
24,Retired,"Nov 16, 1984",right,"1,83m",49319,"Aug 1, 2008",€150k,Mark Bunn,"['England', 'Ireland']",Blackburn-Rovers,Goalkeeper,2008-2009,: Ablöse €150k
25,Retired,"Mar 28, 1984",,,29016,"Jan 25, 2007",€5.50m,Christopher Samba,"['Congo', 'France']",Blackburn-Rovers,Centre-Back,2008-2009,: Ablöse €500k
31,Retired,"Oct 18, 1977",right,"1,85m",28878,"Jan 6, 2005",€3.30m,Ryan Nelsen,['New Zealand'],Blackburn-Rovers,Centre-Back,2008-2009,: Ablöse free transfer
27,Retired,"Oct 9, 1981",left,"1,81m",5286,"Jul 1, 2009",€2.70m,Gaël Givet,['France'],Blackburn-Rovers,Centre-Back,2008-2009,Olympique Marseille
34,Retired,"Jul 11, 1974",right,"1,87m",4345,"Aug 1, 2006",€2.30m,André Ooijer,['Netherlands'],Blackburn-Rovers,Centre-Back,2008-2009,: Ablöse €3.00m
28,Retired,"Nov 25, 1980",right,"1,85m",4756,"Jan 1, 2005",€1.80m,Aaron Mokoena,['South Africa'],Blackburn-Rovers,Centre-Back,2008-2009,: Ablöse €900k
27,Retired,"Oct 6, 1981",right,"1,86m",9621,"Jul 1, 2006",€1.30m,Zurab Khizanishvili,['Georgia'],Blackburn-Rovers,Centre-Back,2008-2009,: Ablöse €750k
18,Retired,"Jan 26, 1991",left,"1,87m",38083,"Jul 1, 2009",,Gavin Gunning,['Ireland'],Blackburn-Rovers,Centre-Back,2008-2009,Blackburn Rovers U18
27,Retired,"Dec 12, 1981",left,"1,78m",3308,"Jan 22, 2007",€5.10m,Stephen Warnock,['England'],Blackburn-Rovers,Left-Back,2008-2009,: Ablöse €2.25m
21,Malmö FF,"May 17, 1988",left,"1,78m",38073,"Jul 1, 2007",€800k,Martin Olsson,['Sweden'],Blackburn-Rovers,Left-Back,2008-2009,Blackburn Rovers U18
28,Retired,"Mar 10, 1981",right,"1,85m",7330,"Jul 1, 2003",€3.50m,Steven Reid,"['Ireland', 'England']",Blackburn-Rovers,Right-Back,2008-2009,: Ablöse €3.60m
22,Retired,"Jan 4, 1987",right,"1,76m",37442,"Aug 4, 2008",€1.10m,Danny Simpson,"['England', 'Jamaica']",Blackburn-Rovers,Right-Back,2008-2009,Manchester United
21,Retired,"Aug 29, 1987",both,"1,83m",46762,"Jul 1, 2006",,Tony Kane,['Northern Ireland'],Blackburn-Rovers,Right-Back,2008-2009,Blackburn Rovers U18
32,Retired,"Mar 8, 1977",both,"1,77m",4352,"Mar 1, 2008",€1.70m,Johann Vogel,['Switzerland'],Blackburn-Rovers,Defensive Midfield,2008-2009,Without Club
38,Retired,"Aug 24, 1970",right,"1,76m",3703,"Jul 1, 2001",€800k,Tugay Kerimoğlu,['Türkiye'],Blackburn-Rovers,Defensive Midfield,2008-2009,: Ablöse €1.95m
27,Retired,"Sep 8, 1981",left,"1,83m",22741,"Aug 27, 2004",€8.70m,Morten Gamst Pedersen,['Norway'],Blackburn-Rovers,Central Midfield,2008-2009,Tromsø IL
29,Retired,"Oct 5, 1979",both,"1,83m",6021,"Aug 26, 2008",€3.30m,Vincenzo Grella,"['Australia', 'Italy']",Blackburn-Rovers,Central Midfield,2008-2009,Torino FC
28,Retired,"Sep 13, 1980",right,"1,83m",8035,"Aug 28, 2008",€2.30m,Keith Andrews,"['Ireland', 'England']",Blackburn-Rovers,Central Midfield,2008-2009,Milton Keynes Dons
24,Retired,"Sep 8, 1984",right,"1,85m",10501,"Jul 1, 2003",€1.75m,Paul Gallagher,['Scotland'],Blackburn-Rovers,Central Midfield,2008-2009,Blackburn Rovers U18
20,Woking FC,"Nov 11, 1988",right,"1,68m",42249,"Jul 1, 2013",€50k,Alan Judge,['Ireland'],Blackburn-Rovers,Central Midfield,2008-2009,Notts County
21,Retired,"Sep 23, 1987",left,"1,78m",48106,"Jul 1, 2006",€50k,Bryan Hodge,['Scotland'],Blackburn-Rovers,Central Midfield,2008-2009,Blackburn Rovers U18
30,Retired,"Feb 22, 1979",right,"1,85m",4367,"Jul 10, 2003",€4.40m,Brett Emerton,['Australia'],Blackburn-Rovers,Right Midfield,2008-2009,: Ablöse €3.00m
20,Retired,"Nov 28, 1988",,"1,80m",65416,"Jul 1, 2009",,Andy Haworth,['England'],Blackburn-Rovers,Right Midfield,2008-2009,Blackburn Rovers U18
18,Strathspey Thistle FC,"May 13, 1991",both,"1,70m",96148,"Jul 1, 2009",,Aaron Doran,['Ireland'],Blackburn-Rovers,Right Midfield,2008-2009,Blackburn Rovers U18
20,Retired,"Sep 13, 1988",left,"1,83m",57064,"Jul 1, 2007",€700k,Keith Treacy,['Ireland'],Blackburn-Rovers,Left Midfield,2008-2009,Blackburn Rovers U18
29,Retired,"Dec 27, 1979",right,"1,78m",4243,"Jan 17, 2007",€4.00m,David Dunn,['England'],Blackburn-Rovers,Attacking Midfield,2008-2009,: Ablöse €3.20m
23,Audax Italiano,"Feb 5, 1986",left,"1,73m",53164,"Jul 1, 2008",€1.90m,Carlos Villanueva,['Chile'],Blackburn-Rovers,Attacking Midfield,2008-2009,: Ablöse ?
27,Club Libertad Asunción,"Aug 16, 1981",right,"1,93m",215,"Jan 14, 2011",€10.00m,Roque Santa Cruz,"['Paraguay', 'Spain']",Blackburn-Rovers,Centre-Forward,2008-2009,: Ablöse free transfer
31,Retired,"Nov 12, 1977",right,"1,84m",3091,"Jul 1, 2006",€8.00m,Benni McCarthy,['South Africa'],Blackburn-Rovers,Centre-Forward,2008-2009,FC Porto
28,Retired,"Jan 15, 1981",right,"1,80m",3604,"Jan 30, 2009",€4.10m,El-Hadji Diouf,"['Senegal', 'France']",Blackburn-Rovers,Centre-Forward,2008-2009,Sunderland AFC
23,Retired,"Apr 14, 1986",right,"1,80m",15175,"Jul 1, 2006",€3.50m,Matt Derbyshire,['England'],Blackburn-Rovers,Centre-Forward,2008-2009,Blackburn Rovers Reserves
31,Retired,"Jan 25, 1978",right,"1,85m",3666,"Jul 3, 2006",€2.80m,Jason Roberts,"['Grenada', 'England']",Blackburn-Rovers,Centre-Forward,2008-2009,Wigan Athletic
34,Retired,"Apr 9, 1975",left,"1,80m",3225,"Sep 1, 2008",€400k,Robbie Fowler,['England'],Blackburn-Rovers,Centre-Forward,2008-2009,Without Club
19,Eastwood Community FC,"Oct 7, 1989",right,"1,78m",92455,,,Marcus Marshall,['England'],Blackburn-Rovers,Centre-Forward,2008-2009,
30,Retired,"Oct 15, 1979",right,"1,93m",3630,"Jul 1, 2008",€5.00m,Paul Robinson,['England'],Blackburn-Rovers,Goalkeeper,2009-2010,Tottenham Hotspur
28,Retired,"May 18, 1982",,,15916,"Jul 1, 2006",€500k,Jason Brown,['Wales'],Blackburn-Rovers,Goalkeeper,2009-2010,Gillingham FC
25,Retired,"Nov 16, 1984",right,"1,83m",49319,"Aug 1, 2008",€300k,Mark Bunn,"['England', 'Ireland']",Blackburn-Rovers,Goalkeeper,2009-2010,: Ablöse €150k
22,Stoke City,"Apr 4, 1988",right,"1,85m",57070,"Jul 1, 2007",€250k,Frank Fielding,['England'],Blackburn-Rovers,Goalkeeper,2009-2010,Blackburn Rovers U18
26,Retired,"Mar 28, 1984",,,29016,"Jan 25, 2007",€6.00m,Christopher Samba,"['Congo', 'France']",Blackburn-Rovers,Centre-Back,2009-2010,: Ablöse €500k
28,Retired,"Oct 9, 1981",left,"1,81m",5286,"Jul 1, 2009",€3.50m,Gaël Givet,['France'],Blackburn-Rovers,Centre-Back,2009-2010,Olympique Marseille
32,Retired,"Oct 18, 1977",right,"1,85m",28878,"Jan 6, 2005",€3.50m,Ryan Nelsen,['New Zealand'],Blackburn-Rovers,Centre-Back,2009-2010,: Ablöse free transfer
28,Retired,"Oct 6, 1981",right,"1,86m",9621,"Jul 1, 2006",€1.00m,Zurab Khizanishvili,['Georgia'],Blackburn-Rovers,Centre-Back,2009-2010,: Ablöse €750k
19,Retired,"Jan 26, 1991",left,"1,87m",38083,"Jul 1, 2009",€75k,Gavin Gunning,['Ireland'],Blackburn-Rovers,Centre-Back,2009-2010,Blackburn Rovers U18
18,Retired,"Feb 21, 1992",right,"1,85m",117996,"Jan 1, 2010",€50k,Phil Jones,['England'],Blackburn-Rovers,Centre-Back,2009-2010,Blackburn Rovers Reserves
18,Norwich City,"Nov 20, 1991",right,"1,88m",121385,"Jan 1, 2010",,Grant Hanley,['Scotland'],Blackburn-Rovers,Centre-Back,2009-2010,Blackburn Rovers U18
28,Retired,"Dec 12, 1981",left,"1,78m",3308,"Jan 22, 2007",€8.50m,Stephen Warnock,['England'],Blackburn-Rovers,Left-Back,2009-2010,: Ablöse €2.25m
22,Malmö FF,"May 17, 1988",left,"1,78m",38073,"Jul 1, 2007",€750k,Martin Olsson,['Sweden'],Blackburn-Rovers,Left-Back,2009-2010,Blackburn Rovers U18
31,Skelmersdale United,"Feb 21, 1979",right,"1,82m",18875,"Aug 27, 2009",€4.50m,Pascal Chimbonda,"['Guadeloupe', 'France']",Blackburn-Rovers,Right-Back,2009-2010,Tottenham Hotspur
29,Retired,"Mar 10, 1981",right,"1,85m",7330,"Jul 1, 2003",€3.00m,Steven Reid,"['Ireland', 'England']",Blackburn-Rovers,Right-Back,2009-2010,: Ablöse €3.60m
30,Retired,"Sep 20, 1979",both,"1,81m",1423,"Jul 1, 2009",€2.50m,Lars Jacobsen,['Denmark'],Blackburn-Rovers,Right-Back,2009-2010,: Ablöse free transfer
34,Retired,"Oct 22, 1975",right,"1,74m",7515,"Aug 1, 2009",€1.50m,Míchel Salgado,['Spain'],Blackburn-Rovers,Right-Back,2009-2010,Real Madrid
21,Sepahan FC,"Dec 15, 1988",right,"1,96m",73734,"Jul 1, 2009",€3.00m,Steven Nzonzi,"['France', 'DR Congo']",Blackburn-Rovers,Defensive Midfield,2009-2010,: Ablöse €580k
28,Retired,"Sep 8, 1981",left,"1,83m",22741,"Aug 27, 2004",€7.00m,Morten Gamst Pedersen,['Norway'],Blackburn-Rovers,Central Midfield,2009-2010,Tromsø IL
30,Retired,"Oct 5, 1979",both,"1,83m",6021,"Aug 26, 2008",€3.00m,Vincenzo Grella,"['Australia', 'Italy']",Blackburn-Rovers,Central Midfield,2009-2010,Torino FC
29,Retired,"Sep 13, 1980",right,"1,83m",8035,"Aug 28, 2008",€2.50m,Keith Andrews,"['Ireland', 'England']",Blackburn-Rovers,Central Midfield,2009-2010,Milton Keynes Dons
25,Retired,"Sep 8, 1984",right,"1,85m",10501,"Jul 1, 2003",€1.75m,Paul Gallagher,['Scotland'],Blackburn-Rovers,Central Midfield,2009-2010,Blackburn Rovers U18
20,Retired,"Nov 16, 1989",right,"1,86m",88596,"Jan 28, 2010",€150k,Amine Linganzi,"['Congo', 'France']",Blackburn-Rovers,Central Midfield,2009-2010,: Ablöse free transfer
31,Retired,"Feb 22, 1979",right,"1,85m",4367,"Jul 10, 2003",€4.00m,Brett Emerton,['Australia'],Blackburn-Rovers,Right Midfield,2009-2010,: Ablöse €3.00m
19,Strathspey Thistle FC,"May 13, 1991",both,"1,70m",96148,"Jul 1, 2009",€50k,Aaron Doran,['Ireland'],Blackburn-Rovers,Right Midfield,2009-2010,Blackburn Rovers U18
30,Retired,"Dec 27, 1979",right,"1,78m",4243,"Jan 17, 2007",€5.00m,David Dunn,['England'],Blackburn-Rovers,Attacking Midfield,2009-2010,: Ablöse €3.20m
31,Retired,"Dec 24, 1978",,,618,"Jan 1, 2010",€1.50m,Yıldıray Baştürk,"['Türkiye', 'Germany']",Blackburn-Rovers,Attacking Midfield,2009-2010,: Ablöse free transfer
26,Retired,"Jul 11, 1983",both,"1,68m",14920,"Jul 1, 2009",€750k,Elrio van Heerden,['South Africa'],Blackburn-Rovers,Attacking Midfield,2009-2010,: Ablöse free transfer
20,Hibernian FC,"Jun 5, 1990",right,"1,74m",58993,"Jul 1, 2009",€1.50m,Junior Hoilett,"['Canada', 'Jamaica']",Blackburn-Rovers,Left Winger,2009-2010,Blackburn Rovers Reserves
32,Retired,"Nov 12, 1977",right,"1,84m",3091,"Jul 1, 2006",€5.50m,Benni McCarthy,['South Africa'],Blackburn-Rovers,Centre-Forward,2009-2010,FC Porto
22,Retired,"Jan 5, 1988",both,"1,87m",36371,"Aug 3, 2009",€5.00m,Nikola Kalinić,['Croatia'],Blackburn-Rovers,Centre-Forward,2009-2010,HNK Hajduk Split
29,Retired,"Jan 15, 1981",right,"1,80m",3604,"Jan 30, 2009",€4.00m,El-Hadji Diouf,"['Senegal', 'France']",Blackburn-Rovers,Centre-Forward,2009-2010,Sunderland AFC
32,Retired,"Jan 25, 1978",right,"1,85m",3666,"Jul 3, 2006",€3.00m,Jason Roberts,"['Grenada', 'England']",Blackburn-Rovers,Centre-Forward,2009-2010,Wigan Athletic
21,Without Club,"Apr 7, 1989",right,"1,93m",59783,"Aug 4, 2009",€2.50m,Franco Di Santo,"['Argentina', 'Italy']",Blackburn-Rovers,Centre-Forward,2009-2010,Chelsea FC
26,Retired,"Jan 22, 1984",right,"1,79m",27701,"Jul 1, 2007",€500k,Maceo Rigters,"['Netherlands', 'Suriname']",Blackburn-Rovers,Centre-Forward,2009-2010,: Ablöse €1.20m
31,Retired,"Oct 15, 1979",right,"1,93m",3630,"Jul 1, 2008",€5.00m,Paul Robinson,['England'],Blackburn-Rovers,Goalkeeper,2010-2011,Tottenham Hotspur
26,Retired,"Nov 16, 1984",right,"1,83m",49319,"Aug 1, 2008",€500k,Mark Bunn,"['England', 'Ireland']",Blackburn-Rovers,Goalkeeper,2010-2011,: Ablöse €150k
29,Retired,"May 18, 1982",,,15916,"Jul 1, 2006",€500k,Jason Brown,['Wales'],Blackburn-Rovers,Goalkeeper,2010-2011,Gillingham FC
23,Stoke City,"Apr 4, 1988",right,"1,85m",57070,"Jul 1, 2007",€250k,Frank Fielding,['England'],Blackburn-Rovers,Goalkeeper,2010-2011,Blackburn Rovers U18
27,Retired,"Mar 28, 1984",,,29016,"Jan 25, 2007",€7.50m,Christopher Samba,"['Congo', 'France']",Blackburn-Rovers,Centre-Back,2010-2011,: Ablöse €500k
29,Retired,"Oct 9, 1981",left,"1,81m",5286,"Jul 1, 2009",€4.50m,Gaël Givet,['France'],Blackburn-Rovers,Centre-Back,2010-2011,Olympique Marseille
